consent_resp.keys,consent_resp.rt,participant,session,Age,date,expName,psychopyVersion,OS,frameRate,overview_resp.keys,overview_resp.rt,Pracstudy_resp.keys,Pracstudy_resp.rt,IndoorOutdoor_resp.keys,IndoorOutdoor_resp.corr,IndoorOutdoor_resp.rt,pracstudy_loop.thisRepN,pracstudy_loop.thisTrialN,pracstudy_loop.thisN,pracstudy_loop.thisIndex,pracstudy_loop.ran,scene_pracstudy,scene_pracstudy_corr,probe,phase,practest_instruct_resp.keys,practest_instruct_resp.rt,practest_instruct_loop.thisRepN,practest_instruct_loop.thisTrialN,practest_instruct_loop.thisN,practest_instruct_loop.thisIndex,practest_instruct_loop.ran,Practest_instruct_resp2.keys,Practest_instruct_resp2.rt,OldNew_resp.keys,OldNew_resp.corr,OldNew_resp.rt,PracTest_RK_resp.keys,practest_loop.thisRepN,practest_loop.thisTrialN,practest_loop.thisN,practest_loop.thisIndex,practest_loop.ran,scene_practest,scene_practest_corr,PracTest_RK_resp.rt,PracEnd_resp.keys,PracEnd_resp.rt,StartExp_resp.keys,StartExp_resp.rt,StudyInstruct_resp.keys,StudyInstruct_resp.rt,Study_IndoorOutdoor_resp.keys,Study_IndoorOutdoor_resp.corr,Study_IndoorOutdoor_resp.rt,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,scene_study,scene_study_corr,block,studyscene_number,TestInstruct_resp.keys,TestInstruct_resp.rt,Test_OldNew_resp.keys,Test_OldNew_resp.corr,Test_OldNew_resp.rt,Test_RK_resp.keys,Test_RK_resp.rt,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,scene_test,scene_test_corr,testscene_number,End_Exp_resp.keys,End_Exp_resp.rt
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.669,i,1,0.822,0,0,0,5,1,stimuli/scene/butcher_V2.jpg,i,2,6,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.512,0,1,1,0,1,stimuli/scene/barn_V2.jpg,o,2,1,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.574,0,2,2,1,1,stimuli/scene/beach_V1.jpg,o,2,2,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.92,0,3,3,2,1,stimuli/scene/bed_V2.jpg,i,2,3,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.658,0,4,4,3,1,stimuli/scene/bridge_V2.jpg,o,2,4,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.584,0,5,5,4,1,stimuli/scene/buffet_V2.jpg,i,2,5,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,space,0.696,b,0,0.643,r,0.876,0,0,0,0,1,stimuli/scene/barn_V1.jpg,n,1,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,n,0,0.817,,,0,1,1,1,1,stimuli/scene/beach_V1.jpg,b,2,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,b,0,0.39,k,1.33,0,2,2,3,1,stimuli/scene/cactus_V2.jpg,n,4,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,b,0,1.404,k,0.615,0,3,3,2,1,stimuli/scene/cattlefarm_V2.jpg,n,3,,
