consent_resp.keys,consent_resp.rt,participant,session,Age,date,expName,psychopyVersion,OS,frameRate,overview_resp.keys,overview_resp.rt,Pracstudy_resp.keys,Pracstudy_resp.rt,IndoorOutdoor_resp.keys,IndoorOutdoor_resp.corr,IndoorOutdoor_resp.rt,pracstudy_loop.thisRepN,pracstudy_loop.thisTrialN,pracstudy_loop.thisN,pracstudy_loop.thisIndex,pracstudy_loop.ran,scene_pracstudy,scene_pracstudy_corr,probe,phase,practest_instruct_resp.keys,practest_instruct_resp.rt,practest_instruct_loop.thisRepN,practest_instruct_loop.thisTrialN,practest_instruct_loop.thisN,practest_instruct_loop.thisIndex,practest_instruct_loop.ran,Practest_instruct_resp2.keys,Practest_instruct_resp2.rt,OldNew_resp.keys,OldNew_resp.corr,OldNew_resp.rt,PracTest_RK_resp.keys,practest_loop.thisRepN,practest_loop.thisTrialN,practest_loop.thisN,practest_loop.thisIndex,practest_loop.ran,scene_practest,scene_practest_corr,PracTest_RK_resp.rt,PracEnd_resp.keys,PracEnd_resp.rt,StartExp_resp.keys,StartExp_resp.rt,StudyInstruct_resp.keys,StudyInstruct_resp.rt,Study_IndoorOutdoor_resp.keys,Study_IndoorOutdoor_resp.corr,Study_IndoorOutdoor_resp.rt,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,scene_study,scene_study_corr,block,studyscene_number,TestInstruct_resp.keys,TestInstruct_resp.rt,Test_OldNew_resp.keys,Test_OldNew_resp.corr,Test_OldNew_resp.rt,Test_RK_resp.keys,Test_RK_resp.rt,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,scene_test,scene_test_corr,testscene_number,End_Exp_resp.keys,End_Exp_resp.rt
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,b,1,0.927,r,0.453,0,4,4,4,1,stimuli/scene/buffet_V2.jpg,b,5,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,1,1.431,,,0,5,5,2,1,stimuli/scene/cattlefarm_V2.jpg,n,3,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.701,i,0,3.252,0,0,0,1,1,stimuli/scene/beach_V1.jpg,o,3,2,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,4,1,stimuli/scene/buffet_V2.jpg,i,3,5,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.599,0,2,2,0,1,stimuli/scene/barn_V2.jpg,o,3,1,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.638,0,3,3,3,1,stimuli/scene/bridge_V2.jpg,o,3,4,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.613,0,4,4,5,1,stimuli/scene/butcher_V2.jpg,i,3,6,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.623,0,5,5,2,1,stimuli/scene/bed_V2.jpg,i,3,3,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,space,0.681,b,0,1.451,r,0.788,0,0,0,5,1,stimuli/scene/butcher_V1.jpg,n,6,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,b,1,0.978,r,0.608,0,1,1,4,1,stimuli/scene/buffet_V2.jpg,b,5,,
